filename,timestamp[ms],diameter[px],diameterSec[px],physicaldiameter[mm],width[px],height[px],widthSec[px],heightSec[px],center_x,center_y,center_xSec,center_ySec,angle[deg],angleSec[deg],circumference[px],circumferenceSec[px],confidence,outline_confidence,confidenceSec,outline_confidenceSec
1603365079500.bmp,1603482876385,111,113,4.99354,107,111,106,113,1114.12,480.772,700.316,510.707,7.10568,175.728,342.462,344.092,1,1,1,1
1603365079536.bmp,1603482876405,111,113,4.9992,108,111,106,113,1114.05,480.781,700.22,510.728,7.36233,176.583,344.021,344.092,1,1,1,1
1603365079569.bmp,1603482876425,111,113,4.99473,107,111,106,113,1113.98,480.956,700.314,510.999,11.7751,178.407,342.462,344.092,1,1,1,1
1603365079602.bmp,1603482876445,111,113,4.99585,108,111,106,113,1113.63,480.962,699.571,510.893,0.364315,175.285,344.021,344.092,1,1,1,1
1603365079636.bmp,1603482876465,111,113,5.00294,108,111,106,113,1113.42,480.839,699.445,511.004,5.39633,177.256,344.021,344.092,1,1,1,1
1603365079669.bmp,1603482876485,111,113,5.00055,108,111,106,113,1114.07,480.991,700.268,511.018,9.81804,177.344,344.021,344.092,1,1,1,1
1603365079702.bmp,1603482876505,111,113,4.98556,107,111,106,113,1114.53,480.961,700.799,511.069,5.85431,178.033,342.462,344.092,1,1,1,1
1603365079736.bmp,1603482876525,111,113,4.99012,108,111,106,113,1115.06,481.353,701.262,511.375,9.14612,175.778,344.021,344.092,1,1,1,1
1603365079769.bmp,1603482876545,111,113,4.99948,107,111,106,113,1115.32,481.048,701.365,511.165,11.259,175.165,342.462,344.092,1,1,1,1
1603365079802.bmp,1603482876565,111,113,4.99754,107,111,106,113,1114.72,480.763,700.903,510.723,8.8429,176.696,342.462,344.092,1,1,1,1
1603365079836.bmp,1603482876585,111,113,4.99244,107,111,106,113,1114.51,480.934,700.666,511.015,3.87293,176.306,342.462,344.092,1,1,1,1
1603365079869.bmp,1603482876605,111,113,4.98977,107,111,106,113,1114.38,480.818,700.589,510.753,6.8472,178.335,342.462,344.092,1,1,1,1
1603365079902.bmp,1603482876625,111,113,4.99717,107,111,106,113,1114.72,480.524,700.915,510.708,7.21857,177.599,342.462,344.092,1,1,1,1
1603365079936.bmp,1603482876645,111,113,4.99432,107,111,106,113,1114.87,480.516,700.915,510.708,8.71809,177.599,342.462,344.092,1,1,1,1
1603365079969.bmp,1603482876665,111,113,4.99711,107,111,106,113,1115.27,480.657,701.055,510.658,6.30398,178.707,342.462,344.092,1,1,1,1
1603365080000.bmp,1603482876685,111,113,4.98665,107,111,106,113,1115.35,480.651,701.335,510.786,9.04955,176.789,342.462,344.092,1,1,1,1
1603365080036.bmp,1603482876705,111,113,4.99404,107,111,106,113,1115.18,481.031,701.283,511.015,10.1482,177.356,342.462,344.092,1,1,1,1
1603365080066.bmp,1603482876725,111,113,4.9942,108,111,106,113,1115.21,481.014,701.259,511.018,11.437,177.35,344.021,344.092,1,1,1,1
1603365080102.bmp,1603482876745,111,113,4.9896,107,111,106,113,1115.21,480.965,701.283,511.015,8.9136,177.356,342.462,344.092,1,1,1,1
1603365080136.bmp,1603482876765,111,113,4.99099,108,111,106,113,1115.09,481.329,701.27,511.445,8.50782,176.506,344.021,344.092,1,1,1,1
1603365080169.bmp,1603482876785,111,113,4.98741,108,111,106,113,1115.21,481.475,701.358,511.653,11.5293,178.766,344.021,344.092,1,1,1,1
1603365080202.bmp,1603482876805,111,113,5.00037,108,111,106,113,1115.53,481.79,701.428,511.625,4.47225,177.626,344.021,344.092,1,1,1,1
1603365080236.bmp,1603482876825,110,113,4.97661,108,110,106,113,1114.94,481.455,700.978,511.594,6.95334,176.831,342.441,344.092,1,1,1,1
1603365080269.bmp,1603482876845,111,113,4.98484,108,111,106,113,1115.11,481.643,701.205,511.628,7.19389,177.138,344.021,344.092,1,1,1,1
1603365080300.bmp,1603482876865,111,113,4.98195,108,111,106,113,1115.14,481.517,701.211,511.674,11.9919,176.907,344.021,344.092,1,1,1,1
1603365080336.bmp,1603482876885,110,113,4.98708,107,110,106,113,1114.76,481.357,700.652,511.482,6.18228,175.889,340.879,344.092,1,1,1,1
